,Mobile Names,Mobile Price,Mobile Reviews
0,"REDMI Note 10 Pro (Dark Night, 128 GB)","₹15,999"," 1,597 Reviews"
1,"REDMI Note 10 Pro (Glacial Blue, 128 GB)","₹15,999"," 1,597 Reviews"
2,"REDMI Note 10 Pro (Vintage Bronze, 128 GB)","₹15,999"," 1,597 Reviews"
3,"REDMI Note 10 Pro (Dark Nebula, 128 GB)","₹15,999"," 1,597 Reviews"
4,"REDMI Note 10 Pro (Dark Nebula, 128 GB)","₹19,999", 196 Reviews
5,"REDMI Note 10 Pro (Vintage Bronze, 64 GB)","₹17,999"," 1,597 Reviews"
6,"REDMI Note 10 Pro (Vintage Bronze, 128 GB)","₹20,899", 196 Reviews
7,"REDMI Note 10 Pro (Glacial Blue, 64 GB)","₹17,999"," 1,597 Reviews"
8,"REDMI Note 10 Pro (Glacial Blue, 128 GB)","₹19,999", 196 Reviews
9,"REDMI Note 10 Pro (Dark Night, 128 GB)","₹20,899", 196 Reviews
10,"REDMI Note 10 Pro (Dark Night, 64 GB)","₹16,990"," 1,597 Reviews"
11,"REDMI Note 10 Pro (Vintage Bronze, 128 GB)","₹20,490", 196 Reviews
12,"Redmi Note 11 PRO Plus 5G (Mirage Blue, 128 GB)","₹20,317", 30 Reviews
13,"REDMI Note 10 Pro (Vintage Bronze, 64 GB)","₹21,999", 196 Reviews
14,"REDMI Note 10 Pro Max (Dark Nebula, 128 GB)","₹21,990", 646 Reviews
15,"REDMI Note 10 Pro Max (Dark Night, 128 GB)","₹19,300", 646 Reviews
16,"REDMI Note 10 Pro Max (Vintage Bronze, 128 GB)","₹18,987", 646 Reviews
17,"REDMI Note 10 Pro Max (Glacial Blue, 128 GB)","₹19,200", 646 Reviews
18,"REDMI Note 10 Pro Max (Glacial Blue, 128 GB)","₹23,890", 137 Reviews
19,"REDMI Note 10 Pro Max (Vintage Bronze, 128 GB)","₹23,890", 137 Reviews
20,"REDMI Note 10 Pro Max (Dark Night, 128 GB)","₹23,890", 137 Reviews
21,"REDMI Note 10 Pro Max (Dark Nebula, 128 GB)","₹22,990", 137 Reviews
22,"REDMI Note 10 Pro MAX (Glacial Blue, 64 GB)","₹17,999", 646 Reviews
23,"REDMI Note 10 Pro MAX (Vintage Bronze, 64 GB)","₹16,999", 646 Reviews
